term,int_rate,dti,fico_range_low,total_rec_int,total_rec_late_fee,last_fico_range_high,last_fico_range_low,acc_open_past_24mths,num_tl_op_past_12m,loan_to_income,loan_int_rate_interaction
36,6.24,20.08,725.0,987.61,0.0,729.0,725.0,3.0,0.0,0.1999960000799984,62400.0
60,18.2,17.45,675.0,1804.72,0.0,554.0,550.0,6.0,3.0,0.3599928001439971,327600.0
36,7.89,19.19,685.0,1614.13,0.0,719.0,715.0,4.0,2.0,0.15599844001559984,123084.0
36,10.64,13.31,680.0,1363.13,0.0,694.0,690.0,1.0,1.0,0.249996875039062,212800.0
36,7.89,23.82,675.0,386.92,0.0,739.0,735.0,8.0,5.0,0.10526177287140959,63120.0
36,19.89,25.49,675.0,540.49,0.0,639.0,635.0,17.0,12.0,0.15726986782058508,172048.5
36,9.76,20.47,710.0,2789.05,0.0,689.0,685.0,5.0,3.0,0.3999927274049563,214720.0
36,5.32,15.76,745.0,892.85,0.0,784.0,780.0,5.0,3.0,0.14999850001499984,79800.0
60,7.26,17.68,680.0,2662.52,0.0,639.0,635.0,2.0,0.0,0.21385926872011168,156816.0
36,11.22,20.46,670.0,2990.56,0.0,789.0,785.0,3.0,1.0,0.3076875740373225,224400.0
36,6.24,15.16,750.0,888.85,0.0,669.0,665.0,9.0,4.0,0.11249859376757791,56160.0
36,12.59,13.1,660.0,1969.42,16.75,539.0,535.0,11.0,7.0,0.13333155557925894,125900.0
36,7.26,21.08,680.0,1832.25,0.0,674.0,670.0,1.0,1.0,0.13513422206606712,145200.0
36,7.26,13.51,700.0,630.26,0.0,779.0,775.0,3.0,2.0,0.27427787777492074,69696.0
36,7.89,13.56,700.0,2504.12,0.0,734.0,730.0,3.0,2.0,0.14285612245626816,157800.0
